,d0_loss,d0_acc,d1_loss,d1_acc,g_loss
0,0.4738018177449703,0.75,0.6113447211682796,0.703125,0.2925037428503856
1,5.31264728307724,0.0,0.1541634660679847,0.9296875,0.8126015467569232
2,0.7853437503799796,0.75,0.9934771545231342,0.3359375,0.7915678806602955
3,0.37303223414346576,0.75,0.2497809585183859,0.984375,3.1997926980257034
4,0.3518295360263437,0.75,0.3397686127573252,0.875,0.8341087910812348
5,3.227526158094406,0.125,0.18185158586129546,0.9296875,1.1204055398702621
6,0.37582991644740105,0.875,1.4755747616291046,0.0,0.7983368337154388
7,0.8655388057231903,0.125,0.5447733774781227,0.8125,0.580826885998249
8,0.6341252811253071,0.625,0.6163676381111145,0.8125,0.8702992796897888
9,0.6703814268112183,0.5,0.6305361166596413,0.734375,0.8693366944789886
10,0.574939887970686,0.6953125,0.558911357074976,0.84375,0.7384273819625378
11,0.8256459459662437,0.375,0.6824198290705681,0.5078125,0.7498376965522766
12,0.8356273174285889,0.40625,0.8417320027947426,0.1640625,0.8603656217455864
13,0.5861313492059708,0.859375,0.6789129078388214,0.4609375,0.8050589039921761
14,0.565904401242733,0.7109375,0.6840910539031029,0.4765625,1.0169452205300331
15,0.5339508876204491,0.7734375,0.6109420135617256,0.59375,0.9969702139496803
16,0.9201043546199799,0.25,0.4267560876905918,0.984375,0.9091328606009483
17,0.40379619784653187,0.96875,0.6174969375133514,0.6484375,0.7591934725642204
18,0.9398344308137894,0.2421875,0.4010534845292568,0.9453125,0.9393666237592697
19,0.4638597369194031,0.8984375,0.598950169980526,0.6328125,0.48257876932621
20,0.7179823601618409,0.625,0.41461214050650597,0.84375,2.5831362307071686
21,0.16564823943190277,1.0,0.1987678287550807,0.9921875,1.0238223019987345
22,0.6995932790450752,0.6640625,0.7769284816458821,0.5625,1.388379778712988
23,0.24082950758747756,0.7578125,0.3389057796448469,0.9609375,3.45456063747406
24,0.03259306773543358,1.0,0.1312123262323439,1.0,3.9226119816303253
25,0.016952755744569004,1.0,0.28948886785656214,0.890625,1.903936617076397
26,0.21821691491641104,0.875,0.2417157283052802,0.875,3.830788090825081
27,1.7405536267906427,0.359375,0.3486999738961458,0.8671875,4.3028866946697235
28,0.0031134013552218676,1.0,0.9115370810031891,0.5546875,5.440406382083893
29,0.010368431860115379,1.0,0.5691602379083633,0.71875,3.421506404876709
30,0.05600443808361888,1.0,0.12992565892636776,0.9765625,3.5089156329631805
31,0.020801398903131485,1.0,0.04419726273044944,1.0,3.524614781141281
32,0.5146917091624346,0.75,0.3462102268822491,0.859375,5.674803912639618
33,0.0032569161558058113,1.0,0.5382911451160908,0.7734375,5.6150102615356445
